root_id,primary_type,additional_types,super_class,flow,side,nt_type,nt_type_score
720575940615753099,T5d,,optic,intrinsic,left,,0.0
720575940617299003,T5b,,optic,intrinsic,left,ACH,0.53
720575940629345383,T5a,,optic,intrinsic,left,,0.0
720575940621381723,T4d,,optic,intrinsic,left,,0.0
720575940623380749,T5d,,optic,intrinsic,left,ACH,0.7
720575940635172975,T5d,,optic,intrinsic,left,ACH,0.49
720575940605426562,T4a,,optic,intrinsic,left,ACH,0.48
720575940613550061,T4b,,optic,intrinsic,left,ACH,0.42
720575940617234059,T4c,,optic,intrinsic,left,ACH,0.67
720575940626296337,T4c,,optic,intrinsic,left,ACH,0.7
720575940631217751,T4d,,optic,intrinsic,left,ACH,0.48
720575940624317367,T4a,,optic,intrinsic,left,ACH,0.65
720575940629921730,T4d,,optic,intrinsic,left,ACH,0.55
720575940641343733,T4d,,optic,intrinsic,left,ACH,0.64
720575940615578783,T5a,,optic,intrinsic,left,ACH,0.58
720575940617963934,T5d,,optic,intrinsic,left,ACH,0.51
720575940623647880,T5d,,optic,intrinsic,left,ACH,0.61
720575940623762701,T5b,,optic,intrinsic,left,ACH,0.54
720575940641346805,T5a,,optic,intrinsic,left,ACH,0.7
720575940646659380,T5c,,optic,intrinsic,left,ACH,0.58
720575940614093279,T5b,,optic,intrinsic,left,,0.0
720575940621705754,T5c,,optic,intrinsic,left,ACH,0.6
720575940622330444,T5c,,optic,intrinsic,left,ACH,0.69
720575940627651093,T5c,,optic,intrinsic,left,ACH,0.51
720575940645029911,T5d,,optic,intrinsic,left,,0.0
720575940605338336,T4d,,optic,intrinsic,left,ACH,0.64
720575940615061666,T4a,,optic,intrinsic,left,,0.0
720575940620657543,T4a,,optic,intrinsic,left,ACH,0.57
720575940620914017,T4d,,optic,intrinsic,left,,0.0
720575940627408773,T4d,,optic,intrinsic,left,ACH,0.42
720575940625026637,T5a,,optic,intrinsic,left,ACH,0.52
720575940628144714,T5c,,optic,intrinsic,left,ACH,0.63
