BANC,FAFB,MANC
720575941504552898,720575940629436631,14624
720575941432254222,720575940619367105,23922
720575941440284245,720575940609722436,14902
720575941561749805,720575940610468050,14203
720575941488799689,720575940626198093,16227
720575941603036601,720575940626692355,16330
720575941643279816,720575940628485596,16839
720575941520689075,720575940623983508,17319
