BANC,MANC,MCNS
720575941504552898,14624,41263
720575941432254222,23922,44871
720575941440284245,14902,15545
720575941561749805,14203,18648
720575941488799689,16227,18411
720575941603036601,16330,18469
720575941643279816,16839,24358
720575941520689075,17319,24561
