BANC,MANC,MAOL
720575941604964030,19198,14878
720575941441579867,12000,10687
720575941431427832,17312,10451
720575941537986275,16401,10443
720575941447716116,11855,11918
720575941450502222,18906,15680
720575941470432887,19968,14646
720575941472995168,19005,12727
720575941496984448,13410,13190
720575941498871777,17622,14822
720575941515011907,14648,10825
720575941486832646,15160,12740
