MANC,MAOL,MCNS
14624,97968,41263
23922,11188,44871
14902,38421,15545
14203,50376,18648
16227,76501,18411
16330,71518,18469
16839,72803,24358
17319,37123,24561
19693,59944,16346
20052,114870,17083
21057,71193,17996
25023,40411,20901
