FAFB,MAOL,MCNS
720575940624934328,95227,107278
720575940628810570,95322,107399
720575940632680855,95435,107793
720575940605985382,95458,108397
720575940619431047,95470,109113
720575940639544373,95531,109605
720575940626543893,95564,109679
720575940643146788,95614,109954
720575940611239378,95666,110319
720575940628234312,95679,110441
720575940622341363,95798,110779
720575940626501378,95811,110934
720575940632150412,95813,110995
720575940640224600,95824,111485
720575940606053566,95838,111642
720575940616595165,95870,113360
720575940619260795,95902,113370
720575940620440199,95925,113732
720575940622843113,95937,113862
720575940640096419,95995,113919
720575940621731056,96016,114143
720575940634732439,96151,114149
720575940638428479,96169,114805
720575940625867466,96215,115557
720575940645635875,96240,115861
720575940620702703,96265,116219
720575940627844117,96394,116301
720575940629599350,96424,116373
720575940612008154,96565,116489
720575940624483592,96725,116547
720575940612507885,96726,116742
720575940625044715,96778,117033
720575940633731423,96821,117125
720575940606104254,96828,117158
720575940606106801,96884,118476
720575940632426660,96953,118492
720575940634222687,97086,120615
720575940644143982,97102,120753
720575940623805674,97168,121292
720575940626539010,97268,121657
720575940636247141,97287,122401
720575940627056113,97306,122556
720575940631020027,97359,123392
720575940619997269,97408,123727
720575940628211219,97453,124054
720575940607415817,97529,124139
720575940617108786,97559,124145
720575940620191764,97595,124253
720575940639605107,97599,125054
720575940640707536,97629,125727
720575940607599305,97635,125950
720575940613034202,97640,127335
720575940631350287,97646,128087
720575940632887085,97660,128824
720575940630946647,97703,131774
720575940638535502,97731,132122
720575940606192049,97790,132367
720575940623271306,97792,132475
720575940606213664,97853,132478
720575940608209842,97877,132974
720575940612686834,97939,132983
720575940613262870,98010,133934
720575940617509947,98027,135023
720575940618343252,98078,135355
720575940623729190,98099,135367
720575940621682164,98117,135539
720575940608720597,98139,136018
720575940612492211,98448,136491
720575940612863283,98534,137822
720575940613674280,98585,138844
720575940617170978,98663,138888
720575940617997917,98886,140359
720575940620569537,98949,141798
720575940621091425,98965,142086
720575940621332596,99046,143608
720575940625054460,99075,143672
720575940625297916,99146,144070
720575940628800784,99166,144516
720575940629385342,99174,144611
720575940630299434,99235,144775
720575940630334940,99268,147500
720575940632878649,99286,147733
720575940626158384,99310,149451
720575940626215568,99316,149608
720575940630729580,99348,149698
720575940627733125,99474,150842
720575940639176576,99514,156156
720575940639737934,99537,156698
720575940606281574,99709,158177
720575940606296497,99736,158530
720575940606336614,100105,162515
720575940619973323,100195,162553
720575940606340286,100261,162609
720575940630606137,100323,164044
720575940623621926,100342,164446
720575940619285163,100396,166164
720575940609287945,100414,171310
720575940612117978,100422,172002
720575940620816299,100430,175285
720575940621956212,100442,176280
720575940625954341,100512,176579
720575940626364734,100520,179772
720575940638097892,100618,180198
720575940621651233,100688,182201
720575940630081280,100745,199036
720575940613547501,100760,203290
720575940616715421,100774,205135
720575940617841297,100946,214833
720575940622956105,101382,249397
720575940629050630,101533,516393
720575940645193764,101709,516786
720575940616044998,101732,529148
720575940636484453,101765,529368
720575940617161787,101774,534206
720575940632085048,101801,534773
720575940632651940,101864,539379
720575940606562481,101957,539441
720575940623672979,102045,542278
720575940624267923,102123,543841
720575940625523436,102204,544221
720575940626755330,102240,546605
720575940634198684,102273,547117
720575940606594766,102276,548338
720575940621689838,102327,548644
720575940627622673,102345,549213
720575940610756465,102383,549313
720575940626724414,102421,549400
720575940645437038,102524,550698
720575940635198815,102555,550746
720575940622474868,102618,550791
720575940625018382,102740,550940
720575940632669922,102791,550955
720575940635144555,102799,551087
720575940627652629,103008,551567
720575940632678687,103182,551693
720575940606776706,103333,552438
720575940622284070,103343,555932
720575940607175369,103408,565944
720575940621474486,103460,566260
720575940621641392,103570,125629
720575940629181712,103571,14326
720575940612114906,103636,16122
720575940606862281,103813,20607
720575940624664819,103870,21615
720575940611851413,103955,22017
720575940617702868,103974,24288
720575940632560865,104080,24740
720575940626692389,104227,26518
720575940631264042,104257,30734
720575940606925489,104336,32372
720575940620032336,104341,32564
720575940624213501,104370,34128
720575940627387273,104379,34810
720575940614428071,104419,35701
720575940620018256,104486,37482
720575940624237571,104498,38440
720575940626401573,104551,39769
720575940618257053,104582,39993
720575940619646685,104612,40423
720575940621885556,104621,40511
720575940622767692,104670,40822
720575940626649786,104714,42773
720575940626799356,104772,43435
720575940630272411,104820,43822
720575940630707193,104878,43914
720575940617285265,104901,43983
720575940626834584,105099,44988
720575940630904057,105177,45495
720575940639772760,105276,45600
720575940615686506,105288,45923
720575940616891195,105389,46952
720575940617557794,105412,47149
720575940623720851,105416,47218
720575940626161712,105580,48804
720575940627332233,105648,49386
720575940628716791,105671,49411
720575940641080283,105850,53277
720575940607022722,106114,53395
720575940607049673,106164,54084
720575940607076482,106200,54395
720575940607081346,106245,54430
720575940616537461,106303,56168
720575940619427163,106366,56326
720575940621514166,106407,58135
720575940627866643,106436,58457
720575940607123145,106496,58533
720575940616825275,106501,59240
720575940630204202,106512,59327
720575940607147721,106535,59456
720575940622403361,106586,59768
720575940626236293,106664,60485
720575940636416119,106665,60693
720575940640691408,106666,61503
720575940643905480,106701,62019
720575940620859119,106716,62122
720575940625851536,106747,62454
720575940607219634,106840,62734
720575940614587538,106875,62735
720575940615488834,106936,62968
720575940612258929,106973,63096
720575940620393521,106992,63371
720575940623972076,106995,63757
720575940629485765,107005,63842
720575940630109660,107094,63988
720575940607288265,107105,64143
720575940631484411,107132,64314
720575940638567396,107159,64692
720575940612418285,107247,65051
720575940620475015,107331,65271
720575940641183477,107354,65547
720575940614557078,107379,65677
720575940615044094,107507,65823
720575940633734734,107591,66213
720575940653057270,107689,66240
720575940607344476,107763,66324
720575940636349303,107832,66918
720575940607363593,107843,67092
720575940615494722,107858,67183
720575940616150203,107874,67814
720575940617783581,107991,67902
720575940618345243,108038,68021
720575940620055768,108050,68153
720575940629939791,108101,69057
720575940630055806,108110,69346
720575940632537252,108168,69388
720575940616321492,108179,69432
720575940626219620,108346,69886
720575940629339751,108625,70210
720575940616444347,108639,70265
720575940627070308,108764,70471
720575940634198112,108822,70512
720575940619792589,108928,71101
720575940621520756,108974,71107
720575940624422664,108989,71274
720575940622760918,109001,71377
720575940660619649,109183,71481
720575940619970480,109217,71847
720575940607462274,109266,71939
720575940623538787,109281,72263
720575940627357080,109308,72333
720575940627395868,109431,72806
720575940629099343,109503,72984
720575940607509890,109545,73094
720575940623067980,109589,73199
720575940651160822,109617,73454
720575940646662179,109699,73589
720575940607596162,109727,73627
720575940607612290,109739,73837
720575940607613314,109845,73912
720575940610726190,109998,73952
720575940616982411,110012,74479
720575940620909806,110042,74492
720575940607652738,110046,74823
720575940607664585,110067,74882
720575940635411307,110131,74939
720575940607678594,110245,75202
720575940620885441,110278,75248
720575940630452183,110312,75994
720575940622200097,110352,76081
720575940625120444,110514,76273
720575940629476857,110537,76471
720575940630021963,110609,76521
720575940607743154,110662,76597
720575940614922146,110712,76795
720575940622461978,110810,77235
720575940629918661,110938,77417
720575940607867593,110979,77617
720575940626179216,111010,77652
720575940608936149,111016,77672
720575940617765862,111032,77744
720575940610583342,111188,77995
720575940620575085,111279,78280
720575940621413729,111283,78699
720575940623089946,111362,78719
720575940628685062,111508,79343
720575940655307681,111588,79394
720575940629600506,111619,79408
720575940607950466,111639,79526
720575940616982155,111823,79621
720575940619738584,111906,79630
720575940625253257,111980,79900
720575940628954088,112034,79909
720575940632743751,112179,80088
720575940607988146,112193,80444
720575940618317617,112322,80460
720575940620386651,112407,81023
720575940637680782,112581,81119
720575940611480440,112633,81358
720575940620920411,112642,81454
720575940622371077,112724,81516
720575940627297106,112801,81774
720575940627674255,112936,81798
720575940628262120,112945,82902
720575940632347459,113048,82999
720575940638403817,113064,83134
720575940645576215,113130,83258
720575940628812670,113159,83339
720575940613085337,113234,83533
720575940619170974,113257,83916
720575940621549172,113307,84208
720575940631661586,113420,84412
720575940640512088,113474,84566
720575940645735534,113580,84943
720575940608155605,113598,84950
720575940633985436,113631,85487
720575940614113331,113648,85559
720575940615743371,113654,85910
720575940619592395,113748,86053
720575940622355836,113793,86080
720575940622707895,113794,86280
720575940628463100,113868,86524
720575940645482862,113892,86689
720575940614929887,113978,86771
720575940627633736,114042,86792
720575940624214089,114154,87206
720575940627636296,114196,87291
720575940616755798,114255,87465
720575940617574585,114338,87723
720575940630990287,114457,87895
720575940620862703,114517,87942
720575940618984606,114528,88471
720575940632871469,114531,88546
720575940613271779,114574,88807
720575940613273059,114589,89184
720575940625472952,114693,89213
720575940625944252,114702,89219
720575940608302601,114713,89610
720575940630965366,114778,89679
720575940637302446,114791,89951
720575940611968625,114808,90204
720575940624834539,114832,90424
720575940630617337,114854,90463
720575940636154480,114884,90636
720575940620654574,114899,90906
720575940620045771,114911,91137
720575940622142076,114936,91259
720575940644357832,114999,91320
720575940609139907,115134,91560
720575940623776696,115152,92098
720575940608584457,115162,92350
720575940618905246,115185,92560
720575940629397915,115279,92587
720575940620634096,115410,92916
720575940629099779,115472,93172
720575940639410254,115497,93391
720575940613464434,115512,93421
720575940620427712,115583,93508
720575940622626328,115595,93516
720575940623089434,115750,94123
720575940627145861,115772,94205
720575940627423621,115797,94252
720575940630812111,115825,94272
720575940608675932,115857,94711
720575940630791798,115922,94764
720575940608695817,116049,94858
720575940608698121,116187,95195
720575940635460971,116397,95513
720575940608739164,116442,95582
720575940622630877,116503,95730
720575940623897869,116538,95943
720575940620443156,116542,95976
720575940625696333,116565,96023
720575940623827338,116681,96128
720575940640355536,116746,96226
720575940631514699,116850,96333
720575940633050705,116968,96359
720575940631763596,116974,96361
720575940624217385,117151,96501
720575940627820304,117267,96506
720575940628357575,117298,96518
720575940632066408,117349,96530
720575940623733700,117401,96719
720575940629871207,117415,96802
720575940635996015,117429,96822
720575940629119787,117491,96840
720575940610100686,117620,96854
720575940622715319,117661,96883
720575940632836435,117702,96948
720575940630745196,117708,97196
720575940627049624,117776,97312
720575940627098634,117779,97417
720575940630360119,117840,97515
720575940632403779,117845,97526
720575940608866571,117857,97536
720575940628268821,118025,97627
720575940628303089,118110,97745
720575940638907520,118225,97910
720575940608896779,118488,97956
720575940608872131,118541,97994
720575940608872796,118560,98025
720575940621163841,118645,98087
720575940618933149,118797,98292
720575940623249702,118810,98497
720575940621347750,118844,98567
720575940647610756,118998,98570
720575940635105175,119049,98601
720575940628609788,119247,98613
720575940608967179,119283,98639
720575940618324564,119340,98822
720575940649882745,119410,98845
720575940622291068,119525,98909
720575940625267431,119568,98917
720575940609711811,119601,98920
720575940615279510,119672,98974
720575940639003881,119913,98986
720575940616949109,120109,98989
720575940609048075,120171,99183
720575940609060107,120217,99188
720575940615404694,120299,99216
720575940626914759,120385,99242
720575940627810386,120391,99318
720575940640738648,120443,99322
720575940609270830,120521,99342
720575940622821658,120580,99530
720575940628028797,120603,99629
720575940609083349,120606,99777
720575940623519635,120659,99918
720575940624931260,120694,99944
720575940627208647,120823,99954
720575940631024687,120884,99957
720575940629991162,120885,100011
720575940632611409,121119,100027
720575940635755956,121126,100036
720575940609117451,121139,100055
720575940631731523,121172,100219
720575940652522998,121185,100248
720575940609137877,121222,100283
720575940612637077,121335,100395
720575940609193227,121338,100546
720575940609227275,121392,100559
720575940609228757,121548,100791
720575940609232341,121592,100840
720575940613471090,121614,100845
720575940619926321,121752,100869
720575940624017159,121803,100962
720575940633217607,121885,100984
720575940613521522,122147,101107
720575940614329666,122344,101150
720575940618262758,122689,101202
720575940626984073,122776,101255
720575940629452443,122872,101288
720575940631219318,122927,101294
720575940616536203,123133,101319
720575940611592398,123139,101350
720575940620940820,123150,101371
720575940622998742,123162,101400
720575940631915083,123393,101412
720575940619943845,123512,101420
720575940627428248,123555,101467
720575940631961144,123838,101638
720575940627159070,124069,101686
720575940632913965,124102,101760
720575940647384884,124125,101891
720575940618365725,124131,101924
720575940622867895,124155,101943
720575940627554953,124326,101958
720575940628505132,124411,101991
720575940644277152,124418,102026
720575940619877615,124580,102046
720575940620499371,124616,102115
