MANC,MAOL,MCNS
19198,14878,10133
12000,10687,532655
17312,10451,10096
16401,10443,10397
11855,11918,10459
18906,15680,555318
19968,14646,11837
19005,12727,10376
13410,13190,11359
17622,14822,527470
14648,10825,23477
15160,12740,11952
