BANC,FAFB,MAOL
720575941504552898,720575940629436631,97968
720575941432254222,720575940619367105,11188
720575941440284245,720575940609722436,38421
720575941561749805,720575940610468050,50376
720575941488799689,720575940626198093,76501
720575941603036601,720575940626692355,71518
720575941643279816,720575940628485596,72803
720575941520689075,720575940623983508,37123
