FAFB,MANC,MAOL
720575940624934328,102332,95227
720575940628810570,21262,95322
720575940632680855,25885,95435
720575940605985382,48980,95458
720575940619431047,23698,95470
720575940639544373,27733,95531
720575940626543893,19260,95564
720575940643146788,162970,95614
720575940611239378,22013,95666
720575940628234312,14339,95679
720575940622341363,20551,95798
720575940626501378,24213,95811
720575940632150412,30709,95813
720575940640224600,14085,95824
720575940606053566,16497,95838
720575940616595165,154803,95870
720575940619260795,21315,95902
720575940620440199,27499,95925
720575940622843113,30927,95937
720575940640096419,51546,95995
720575940621731056,28049,96016
720575940634732439,23386,96151
720575940638428479,158961,96169
720575940625867466,29717,96215
720575940645635875,21925,96240
720575940620702703,24900,96265
720575940627844117,29241,96394
720575940629599350,29301,96424
720575940612008154,29418,96565
720575940624483592,29691,96725
720575940612507885,19145,96726
720575940625044715,163596,96778
720575940633731423,13478,96821
720575940606104254,14871,96828
720575940606106801,37492,96884
720575940632426660,30304,96953
720575940634222687,101736,97086
720575940644143982,16102,97102
720575940623805674,20830,97168
720575940626539010,47439,97268
720575940636247141,26196,97287
720575940627056113,29227,97306
720575940631020027,24828,97359
720575940619997269,36453,97408
720575940628211219,38070,97453
720575940607415817,23222,97529
720575940617108786,153640,97559
720575940620191764,157002,97595
720575940639605107,26658,97599
720575940640707536,25173,97629
720575940607599305,32283,97635
720575940613034202,25805,97640
720575940631350287,25475,97646
720575940632887085,28584,97660
720575940630946647,23508,97703
720575940638535502,37504,97731
720575940606192049,30497,97790
720575940623271306,31524,97792
720575940606213664,24878,97853
720575940608209842,34862,97877
720575940612686834,156505,97939
720575940613262870,25172,98010
720575940617509947,41301,98027
720575940618343252,21088,98078
720575940623729190,17028,98099
720575940621682164,15894,98117
720575940608720597,167919,98139
720575940612492211,13401,98448
720575940612863283,39475,98534
