engine,triple,n,structure,ok,reason,certificate,connectivity
engine_c,BANC|FAFB|MCNS,1292,general,True,,certificates/engine_c__BANC-FAFB-MCNS.csv,weakly_connected
engine_c,BANC|FAFB|MCNS,295,general,True,,,disconnected_ceiling
