neuron_id,wl_color
720575941350274352,649e5ed5a3755bb6
720575941399414563,ea67c28407d73677
720575941409918831,324b4280ff3a168c
720575941425044820,e39a6200ed7aef52
720575941434753568,e92d1636ba1c50bd
720575941438392364,21ee03f005181499
720575941450561358,77b5f1ecd77ed629
720575941454878003,3a47d2d0bdbade10
720575941474499377,fce5f87aceefd59e
720575941474519326,317142c94f42cee9
720575941478731683,52a75d147c7b90a9
720575941480138976,619009792fa4ef42
720575941481960131,3a15592eb4520c66
720575941482015171,a7e7209aca1a9076
720575941490647527,8df6647b32f78085
720575941491293415,a5b83b03a60c6a50
720575941496126793,1e95b71668e5cc7a
720575941500951383,d9a0382a5a573c4e
720575941504396567,d8c02a1617f01125
720575941505092517,693940995e197257
720575941505568069,eb5ed927d374db5c
720575941505580066,319ebe04ba839971
720575941507431297,548eff60a384759e
720575941511197516,a4d5a1bcf47243f0
720575941511491148,25b900e936c0d4b7
720575941512525123,23ffa294b92ad74f
720575941515995052,abf8a02e2a538d28
720575941521271475,3d473e386103d2e2
720575941525779789,b637af70d46f71c0
720575941527948932,761dabb4e8d3f0d5
720575941531180261,23998e63b9f0bafa
720575941533604122,bafa540481bad2e1
720575941533791514,68014a6b89d6cd48
720575941536318869,4678c841142d98b5
720575941540726045,596e09df18585cf4
720575941542830877,6a23d095c67e4b9c
720575941544272489,fbbde4d291d94c55
720575941547377725,0dd2738c7f6bb9fd
720575941547393825,8960c19dc86d259f
720575941549951549,60d1bc2b3c4f6a7e
720575941551010695,ef5c9163fb05cead
720575941556327588,854cb6efad1a5985
720575941561359917,4fc92c82144643cb
720575941561428013,43d9fc0fdadf974d
720575941562150568,526be4a3ecf0c264
720575941565315638,a3ada233144836c4
720575941565380910,59a5be883e137c3c
720575941578439513,529c4b6d76a104a9
720575941579753849,d29218387609a5b8
720575941580731001,2913b2cd05db98af
720575941585484766,1b5935b5da03df17
720575941592225831,e736da62bbb3d6b8
720575941594091397,bef1cfa1ed694078
720575941595764636,8d3624266ea5cd46
720575941597315484,6eab8fc57c11ce05
720575941610608604,aa81fa05abd3cbf3
720575941617887103,28f3ec69b19a0001
720575941623218172,b3a31520e922e83e
720575941629906924,e36c96193c4a647f
720575941636735861,4bac693a087cdf8c
720575941642372040,9633f7977e00f5d9
720575941656372304,d7dfc784021f88f8
720575941667647219,5b8acea44feaff67
720575941667762097,ace199d6c3addc83
720575941731736875,0c3bd0410ed35fee
720575941350334256,d1b4057eb7825a31
720575941393722006,604b89b641b45ed7
720575941405813295,93bb8f3d2ec6619e
720575941408568750,2fced13db28c824e
720575941411344043,a3e4f706eb268417
720575941439563583,491c98594d2b8df5
720575941441993167,4271cf24850f5f10
720575941450532174,20a25c060c4bd287
720575941450620494,a550bd9e4b0d0ed1
720575941450756167,7415a4db304fb978
720575941457707167,737b9791c6e8c27e
720575941461393296,7ea60bd538e6a63f
720575941471266912,a7e94225cd8588dc
720575941472078122,297b5eefd6bc9e7b
720575941475702890,cecfe4730c4a3e2d
720575941476555329,1e6078015d461fb5
720575941481041231,3e33417fde2ed635
720575941487877328,54560382a1322e53
720575941494994558,ea474308b983d05c
720575941497014946,31a08289e016fd46
720575941508609665,59e2e4b2f2444fd1
720575941511599314,61311400ff0a7fd2
720575941513720979,7cff475c18d879f0
720575941526870628,df7b3dd15fef9fbe
720575941529775307,7b77a60540e47b4d
720575941531577829,26fd82f42a8aec6e
720575941535047690,0797d9899701927e
720575941535931658,63899312828527e5
720575941536281586,bc6e61756a53a0c1
720575941540256205,2429c08d2bf31452
720575941542462300,479f565aa806f5d9
720575941542469212,d26f61b554ef5dda
720575941547184957,f7859cea116b9502
720575941547337140,661bab88afa4d4bd
720575941551514174,f4fbb54662efc828
720575941552477697,33ea8f969476a5dc
720575941553395098,a37f3d5040e89e73
720575941553520211,4ba17343ac986d81
720575941554952858,bb52f901d56196f5
720575941556189924,e547d7cd8843e5d2
720575941564134242,8137fd1b313bc759
720575941565393927,5d2177fd76538211
720575941568708398,c01e1e3e5ed26b8e
720575941569365242,08e209095b07e8fd
720575941573970831,a1d158cd6898af3b
720575941579780597,555bba6357815552
720575941583186566,dcef7036b4fed004
720575941592598309,679268b93bf61291
720575941593486806,92719b860a10b7a8
720575941593522283,4363d6b416ec2b4e
720575941601223158,273e42e083fad135
720575941619873407,afa91f70f3c6c035
720575941633520059,3b9eb27bdf766092
720575941637686389,3e2218eb3c9826b1
720575941658641176,d467c0af826f494a
720575941662508600,8781f4b4a4c970b4
720575941670676135,967e18967a8eca5a
720575941350352176,4d95704c81d9f927
720575941413837084,8e7dbf7a290ce95c
720575941442381738,8f1175063d4f8888
720575941443907754,c8c2092fb514ec9b
720575941453978861,6d573fefba4c2121
720575941455535923,cfe603bd43a46b3f
720575941458399699,a0c63a809648f867
720575941485452685,3dfb939bfc1d678d
720575941492391294,0ec9281a1601c5d8
720575941512450371,7d1305726275e260
720575941518467507,023f29d4c22be3c4
720575941521073591,ed40b5f4cc35b823
720575941524119117,41151f8aec7fb435
720575941524179787,ed47d331d096852a
720575941533986136,6f57c09f6249809e
720575941536268786,de25b9ab58aa86e4
720575941542417500,7a641ed4937d9647
720575941551385371,164ad153d233a175
720575941552374273,172d096e7b7d673a
720575941552589447,d5efaac7af4df553
720575941555462995,8ecfc369901d23c0
720575941558995950,f4051c4694bd6908
720575941568553330,f2babe2b6a86b6d7
720575941568841204,3fa0ea6bd3a62005
720575941572103433,af02a9288b22a4ba
720575941574248187,88c9069f13016c4f
720575941576683624,6869dbde4ee07d12
720575941595151237,7d5038a972b76b21
720575941604984173,c28aac7944c44c61
720575941625147244,99729ab15bc697e8
720575941639365749,3c2ac02ed940bbcf
720575941649246741,23ff11b51095e880
720575941679008445,347947de3cdcc5a2
720575941687653238,6439fc68e0c45d78
720575941350354224,a3569071d96928db
720575941412323473,c2d424fc5638b92b
720575941436973586,200745c1c6888515
720575941450876794,44cf0d890c2ca99a
720575941463704077,993163ece8b1d1b6
720575941471203447,8e53add9a4b40b95
720575941474786625,145f16f5591f2db8
720575941475766122,f115b625b814c61b
720575941495131079,a75b7901a78ab658
720575941495965895,597918bb73b66a6e
720575941498915401,f02b912cdba97c91
720575941504039618,d9cf71aa88a1ffc6
720575941516100954,a8159947cb06ca01
720575941524280857,a1d0fcc4f4e32ffd
720575941526892198,3baf5eafc0acb6f5
720575941535409178,7027ee6769fa1626
720575941545440392,9c522dc03d18ee59
720575941546065032,0a8b6c04bd5921ae
720575941546773640,7275c52370837eb1
720575941549283839,398953eda8a23ee9
720575941549840702,01f7cadd8e7e88f6
720575941552783495,32efc078c7269c1d
720575941556372516,067a5dfdce8c7ac0
720575941583511518,1d0340b21d7327c1
720575941588018942,54abb579e3a3625e
720575941592094422,4210fa645f092d72
720575941610583260,8baf485937f494c1
720575941612053094,c52af62bab64afcc
720575941628591330,cd90116b0a11fcf1
720575941665603059,1f89d8b99729e3c7
720575941687929307,cb0988cce8be2f4a
720575941723242042,fee3c4bb6b1cdc86
720575941350374960,21258bb43698d86c
720575941482323651,151fff6d642c1ba9
720575941527099981,667ae6357041a579
720575941536210581,5ef85a605663327a
720575941555120612,eb5fea85d22ea364
720575941556338916,fc53fcb483876717
